Seller Id,Warehouse Id,Store Order Id,Order Release Id,Order Line Id,Seller Order Id,Order Id FK,Created On,Style ID,Seller SKU Code,SKU Id,Myntra SKU Code,Quantity,Size,Vendor Article Number,Brand,Style Name,Article Type,Order Status,Packet Id,Seller Packe Id,Courier Code,Order Tracking Number,Seller Warehouse Id,Cancellation Reason Id Fk,Cancellation Reason,Packed On,FMPU date,Inscanned On,Shipped On,Delivered On,Cancelled On,RTO Creation date,Lost date,Return Creation date,Final Amount,Total Mrp,Discount,Coupon Discount,Shipping Charge,Gift Charge,Tax Recovery,City,State,Zipcode
18500,29954,'125795922724481862203,7770679604,9770657417,e3003f63-7302-427f-88b1-2e8685f9706e,5104995099,50:56.0,25316732,MorPat Grey,81598790,DIVISARS81598790,1,Pack,MorPat Grey,DIVASTRI,DIVASTRI Ethnic Motifs Printed Zari Patola Saree,Sarees,C,7770679604,1384423864,flipkartlogistics,MYSP1065637184,29954,,,51:26.0,,59:14.0,05:31.0,32:06.0,,,,1/27/2024 17:47,993,4969,3976,0,0,0,0,Mumbai,MH,400701
18500,29954,'125761432219297962201,7766686983,9766664753,eed1ebb6-f20e-4dfd-a602-35567fdf48fa,5102791794,02:30.0,25316734,Sanskriti Pblu,81598792,DIVISARS81598792,1,Pack,Sanskriti Pblu,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Paithani Saree,Sarees,C,7766686983,1383457014,DE,1.32E+11,29954,,,58:05.0,24:11.0,49:37.0,55:19.0,44:58.0,,,,,1064,3435,2371,200,0,0,0,Shahgarh,MP,471313
18500,29954,'125684338910360964503,7755359036,9755336787,1111b582-0311-4735-b048-8aa57fa2b45c,5096924774,53:38.0,22062264,N_YS31_BGreen,69777010,AHAASARS69777010,1,Onesize,N_YS31_BGreen,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7755359036,1379005481,flipkartlogistics,MYSP1060781605,29954,,,45:59.0,,59:24.0,05:00.0,15:09.0,,,,,898,2899,2001,71,0,0,0,Hyderabad,TG,500084
18500,29954,'125636043625119553503,7749410229,9749387967,66d081cd-00ba-4542-97b0-b1f55b348830,5093649545,44:25.0,20755024,SKD 7_Rama M,65019364,AHAAKASS65019364,1,M,SKD 7_Rama,AA-HA!!,AA-HA!! Women Teal Floral Embroidered Sequinned Kurta with Trousers  Dupatta,Kurta Sets,C,7749410229,1376691879,flipkartlogistics,MYSP1058623437,29954,,,12:10.0,,35:46.0,43:16.0,10:28.0,,,,,1249,4999,3750,0,0,0,0,Allahabad,UP,211003
18500,29954,'125635686178813512601,7749353960,9749331698,fa397fc3-18d5-45a9-ad1b-5d5918c0d460,5093621336,44:51.0,22062274,N_Punam 2_Yellow,69777020,AHAASARS69777020,1,Onesize,N_Punam 2_Yellow,AA-HA!!,AA-HA!! Woven Design Zari Pure Silk Saree,Sarees,C,7749353960,1376684440,flipkartlogistics,MYSP1058622217,29954,,,10:07.0,,34:12.0,39:49.0,35:54.0,,,,,782,2899,2117,0,0,0,0,Bangalore,KA,560100
18500,29954,'125669364442739813401,7753767366,9753745113,e49f5ad6-322f-4c56-8f0d-efe2c3aa91f9,5096048009,17:53.0,23282448,Kyara_Black,74181932,DIVISARS74181932,1,Onesize,Kyara_Black,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Silk Cotton Banarasi Saree,Sarees,C,7753767366,1378335058,flipkartlogistics,MYSC1049290537,29954,,,10:15.0,,04:06.0,09:49.0,45:19.0,,,,,1173,6900,5727,0,0,0,0,Bangalore,KA,560076
18500,29954,'125807456263445128501,7771893105,9771870929,e6a43ba1-167a-48c8-b82a-b1f06093a5d2,5105748537,53:12.0,25316718,Marvel17 Bgr,81598774,DIVISARS81598774,1,Pack,Marvel17 Bgr,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Banarasi Saree,Sarees,C,7771893105,1384921903,flipkartlogistics,MYSP1066046091,29954,,,46:14.0,,01:43.0,08:42.0,58:27.0,,,,,1215,4500,3285,0,0,0,0,Pune,MH,411014
18500,29954,'125650714257305493101,7751305005,9751282750,76db7fda-b1c0-4014-8a23-d1da73f08b02,5094688550,29:31.0,23282514,S_P14 Bpink,74181998,DIVISARS74181998,1,Onesize,S_P14 Bpink,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Silk Cotton Paithani Saree,Sarees,C,7751305005,1377484809,flipkartlogistics,MYSP1059318443,29954,,,47:06.0,,23:57.0,28:47.0,29:12.0,,,,,1119,6584,5465,0,0,0,0,Aurangabad,MH,431009
18500,29954,'125796232968087836003,7770722579,9770700400,b131ee8d-89d8-4baf-9642-83dd7df771fd,5105021753,42:39.0,24361762,Sanskriti_Pink,78153974,DIVISARS78153974,1,Pack,Sanskriti_Pink,DIVASTRI,DIVASTRI Geometric Woven Design Zari Paithani Saree,Sarees,C,7770722579,1384425639,flipkartlogistics,MYSP1065637574,29954,,,52:32.0,,57:04.0,04:03.0,12:09.0,,,,1/29/2024 0:45,843,3675,2683,149,0,0,0,Pune,MH,411038
18500,29954,'125652536486958753303,7751709107,9751686851,147340f0-b175-4c48-9d80-00df4188872a,5094907281,33:13.0,24361762,Sanskriti_Pink,78153974,DIVISARS78153974,1,Pack,Sanskriti_Pink,DIVASTRI,DIVASTRI Geometric Woven Design Zari Paithani Saree,Sarees,C,7751709107,1377487294,flipkartlogistics,MYSC1048772101,29954,,,51:31.0,,13:17.0,19:55.0,23:55.0,,,,,882,3675,2793,0,0,0,0,Yavatmal,MH,445001
18500,29954,'125683409896969859801,7755241647,9755219398,a47d4ee7-88e2-496c-acc8-9391f747a21e,5096860267,18:47.0,23282448,Kyara_Black,74181932,DIVISARS74181932,1,Onesize,Kyara_Black,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Silk Cotton Banarasi Saree,Sarees,C,7755241647,1379008358,flipkartlogistics,MYSC1049748001,29954,,,51:08.0,,59:06.0,05:36.0,08:46.0,,,,1/21/2024 9:58,1173,6900,5727,0,0,0,0,Vaishali,BR,844505
18500,29954,'125641013861900023501,7749879620,9749857358,37a781ba-8591-4f59-aebe-01cc0f9e10a2,5093905644,32:47.0,23282330,NS Kaju katri_Bgreen.,74181814,DIVISARS74181814,1,Onesize,NS Kaju katri_Bgreen.,DIVASTRI,DIVASTRI Geometric Woven Design Zari Silk Cotton Banarasi Saree,Sarees,C,7749879620,1377487289,flipkartlogistics,MYSC1048772497,29954,,,51:58.0,,13:18.0,19:55.0,53:19.0,,,,,998,4991,3993,0,0,0,0,Siliguri,WB,734010
18500,29954,'125709720940722279503,7759306729,9759284485,3b153e79-6dcd-4526-a7a9-72e7ec9316e2,5098939371,23:58.0,24361736,Sakshi_Wine,78153948,DIVISARS78153948,1,Pack,Sakshi_Wine,DIVASTRI,DIVASTRI Woven Design Zari Paithani Saree,Sarees,C,7759306729,1380489093,flipkartlogistics,MYSC1050616549,29954,,,27:34.0,,19:36.0,25:37.0,52:45.0,,,,,882,3675,2793,89,0,0,0,Panjim,GA,403001
18500,29954,'125771557353303739501,7768077376,9768055156,1de0e98e-c1f1-41a4-9e0e-fd4507bb5ad0,5103524808,10:02.0,23461554,DVS Flower Patola PBlue,74837698,DIVISARS74837698,1,Onesize,DVS Flower Patola PBlue,DIVASTRI,DIVASTRI Floral Woven Design Zari Silk Cotton Banarasi Saree,Sarees,F,,,flipkartlogistics,,29954,79,Duplicate Order,,,,,,12:03.0,,,,1281,7495,6071,143,0,0,0,Thane,MH,400610
18500,29954,'125728975904563971803,7762185289,9762163048,124b003b-4e11-46d9-911e-f10e04c49e1b,5100431816,53:07.0,20755024,SKD 7_Rama L,65019366,AHAAKASS65019366,1,L,SKD 7_Rama,AA-HA!!,AA-HA!! Women Teal Floral Embroidered Sequinned Kurta with Trousers  Dupatta,Kurta Sets,SH,7762185289,1381367145,EE,7041657058,29954,,,58:39.0,42:38.0,02:22.0,24:05.0,,,,,,1099,4999,3900,0,0,0,0,Tura,ML,794001
18500,29954,'125626208450847476503,7748102337,9748080073,dd7f2661-bba1-4f7d-b7ab-aa0912d24200,5092926392,25:13.0,24361782,Shruti_Blue,78153994,DIVISARS78153994,1,Pack,Shruti_Blue,DIVASTRI,DIVASTRI Ethnic MOtifs Woven Design Zari Banarasi Saree,Sarees,F,7748102337,1376313712,flipkartlogistics,MYSC1048066331,29954,31,Cash Issue,56:46.0,,33:09.0,38:04.0,,20:10.0,,,,992,3675,2683,0,0,0,0,Firozabad,UP,283203
18500,29954,'125673660863744032503,7754138502,9754116249,89d6d1fc-9951-49b1-a1e7-24305dcc50e5,5096244303,13:57.0,21131862,D198_Hot Pink.,66333996,AHAASARS66333996,1,Onesize,D198_Hot Pink.,AA-HA!!,AA-HA Woven Design Zari Paithani Saree,Sarees,RTO,7754138502,1378380603,flipkartlogistics,MYSC1049317441,29954,37,RTO Cancellation,02:12.0,,03:06.0,07:43.0,,49:35.0,1/16/2024 15:49,,,1115,6199,5084,0,0,0,0,Allahabad,UP,212503
18500,29954,'125605781834933580701,7745178554,9745156287,cfa0120d-90f5-4893-8630-d43bc83abe7e,5091329438,40:47.0,23259992,Mehendi_Marvel 3,74101666,DIVISARS74101666,1,Onesize,Mehendi_Marvel 3,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Saree,Sarees,C,7745178554,1375462363,ML,ML1545477880,29954,,,55:17.0,19:37.0,45:57.0,18:37.0,32:35.0,,,,,1178,6930,5752,0,0,0,0,K.V.Rangareddy,TS,500090
18500,29954,'125738184215167353903,7763521949,9763499709,2f276066-2658-462a-953a-9fbc8163b045,5101145633,27:51.0,22062262,N_YS31_Rama,69777008,AHAASARS69777008,1,Onesize,N_YS31_Rama,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7763521949,1381807388,flipkartlogistics,MYSP1063217176,29954,,,45:09.0,,34:44.0,40:59.0,18:26.0,,,,,898,2899,2001,135,0,0,0,Ahmed Nagar,MH,414103
18500,29954,'125840609682453994201,7775154481,9775132365,1bbf4c2a-8e0f-4e50-b683-785624ee8540,5107579975,58:45.0,24361778,Sanvi_Pink,78153990,DIVISARS78153990,1,Pack,Sanvi_Pink,DIVASTRI,DIVASTRI Geometric Woven Design Zari Paithani Saree,Sarees,SH,7775154481,1385892995,flipkartlogistics,MYSC1053990287,29954,,,44:29.0,,42:53.0,49:57.0,,,,,,1062.5,3937.5,2875,0,0,0,0,Champawat,UT,262523
18500,29954,'125673660863744032503,7754138506,9754116253,4734e1d0-d579-4c8e-b714-111c442bd84e,5096244303,13:58.0,21131862,D198_Hot Pink.,66333996,AHAASARS66333996,1,Onesize,D198_Hot Pink.,AA-HA!!,AA-HA Woven Design Zari Paithani Saree,Sarees,RTO,7754138506,1378381113,flipkartlogistics,MYSC1049317811,29954,37,RTO Cancellation,02:55.0,,57:39.0,04:18.0,,49:58.0,1/16/2024 15:49,,,1115,6199,5084,0,0,0,0,Allahabad,UP,212503
18500,29954,'125675600499894490003,7754412646,9754390393,609c4d3a-eab7-4cbe-a752-b46eca67e940,5096399330,37:13.0,22062264,N_YS31_BGreen,69777010,AHAASARS69777010,1,Onesize,N_YS31_BGreen,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7754412646,1378672338,flipkartlogistics,MYSP1060462969,29954,,,47:22.0,,47:23.0,53:43.0,07:13.0,,,,,782,2899,2117,0,0,0,0,Chennai,TN,600062
18500,29954,'125623024839648084701,7747544512,9747522248,6812275a-d153-4268-9983-003af1c9b771,5092606872,34:36.0,22062284,N_Punam 1_Wine,69777030,AHAASARS69777030,1,Onesize,N_Punam 1_Wine,AA-HA!!,AA-HA!! Ethnic Motifs Zari Pure Silk Saree,Sarees,F,7747544512,1376313710,flipkartlogistics,MYSC1048065864,29954,32,Ordered by mistake,57:17.0,,18:14.0,,,18:22.0,,,,782,2899,2117,100,0,0,0,Kolkatta,WB,700148
18500,29954,'125638576564281092203,7749510604,9749488342,c2104d94-9fe6-43ef-ae59-3991eda7870f,5093698237,46:34.0,22062264,N_YS31_BGreen,69777010,AHAASARS69777010,1,Onesize,N_YS31_BGreen,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7749510604,1376690541,flipkartlogistics,MYSC1048309777,29954,,,08:29.0,,42:47.0,47:38.0,46:56.0,,,,,782,2899,2117,0,0,0,0,Thane,MH,400614
18500,29954,'125704325081688884003,7758586261,9758564014,72f9687a-5912-4263-976b-91dc297890a1,5098592051,24:39.0,20755040,Pal1243_Yellow_M,65019428,AHAAKASS65019428,1,M,Pal1243_Yellow,AA-HA!!,AA-HA!! Women Yellow Kurta with Trousers  With Dupatta,Kurta Sets,C,7758586261,1380494888,flipkartlogistics,MYSP1061991106,29954,,,33:50.0,,19:22.0,25:36.0,18:58.0,,,,,1099,4999,3900,110,0,0,0,Bangalore,KA,560015
18500,29954,'125607947915885059903,7745549146,9745526880,37d6e3fa-6e7c-4b32-bf0f-31dfcefd8fb6,5091544789,41:47.0,20435362,SKD5_BLUE_M,63887900,AHAAKASS63887900,1,M,SKD5_BLUE,AA-HA!!,AA-HA Women Navy Blue  White Floral Embroidered Kurta with Trousers  With Dupatta,Kurta Sets,C,7745549146,1375462362,DE,1.32E+11,29954,,,56:16.0,19:37.0,09:43.0,18:37.0,10:28.0,,,,,1199,3999,2800,0,0,0,0,Hyderabad,TG,500043
18500,29954,'125712899784202595701,7759999793,9759977550,74613497-a109-4ffc-b7b9-d9c6472199dc,5099300451,13:46.0,20755034,Pal Mirror_Rama_M,65019404,AHAAKASS65019404,1,M,Pal Mirror_Rama,AA-HA!!,AA-HA!! Women Teal Embroidered Mirror Work Kurta with Trousers  With Dupatta,Kurta Sets,C,7759999793,1380489094,flipkartlogistics,MYSP1061983784,29954,,,27:18.0,,11:38.0,55:13.0,37:36.0,,,,,1019,5999,4980,0,0,0,0,Hyderabad,TG,500028
18500,29954,'125796232968087836003,7770722584,9770700404,892f6933-72a2-4bb8-a127-d6b9900384e9,5105021753,42:39.0,24361766,Sanskriti_NBlue,78153978,DIVISARS78153978,1,Pack,Sanskriti_NBlue,DIVASTRI,DIVASTRI Geometric Woven Design Zari Paithani Saree,Sarees,C,7770722584,1384423866,flipkartlogistics,MYSP1065638033,29954,,,52:18.0,,57:08.0,03:31.0,12:13.0,,,,1/30/2024 15:09,843,3675,2683,149,0,0,0,Pune,MH,411038
18500,29954,'125755698349112753401,7766067962,9766045724,be32d902-63c6-4d57-b2f4-d3ea1191ddd0,5102469641,06:51.0,25334362,Suraj Mukhi_Black,81658008,DIVISARS81658008,1,Pack,Suraj Mukhi_Black,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Paithani Saree,Sarees,F,7766067962,1382698860,flipkartlogistics,MYSC1051982116,29954,27,Delayed Delivery Cancellation,03:32.0,,17:08.0,23:01.0,,03:23.0,,,,1931,4599,2668,194,0,0,0,Pune,MH,411021
18500,29954,'125727785404009666303,7761972053,9761949812,16451922-c9f9-473e-b7c8-33b0a21436b3,5100311267,34:42.0,22062264,N_YS31_BGreen,69777010,AHAASARS69777010,1,Onesize,N_YS31_BGreen,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7761972053,1381367143,flipkartlogistics,MYSP1062797504,29954,,,59:16.0,,56:47.0,01:51.0,55:39.0,,,,,898,2899,2001,0,0,0,0,Amritsar,PB,143101
18500,29954,'125820291504887553203,7773069110,9773046962,54988e31-32f0-4384-b159-3c12dc63d8ca,5106402398,32:24.0,26409022,Prit_Black,85337052,DIVISARS85337052,1,Onesize,Prit_Black,DIVASTRI,DIVASTRI Floral Woven Design Zari Designer Paithani Saree,Sarees,C,7773069110,1384924072,flipkartlogistics,MYSP1066045172,29954,,,48:31.0,,15:58.0,21:36.0,41:26.0,,,,,3150,8515,5365,0,0,0,0,Chandausi,UP,244412
18500,29954,'125638576564281092203,7749510620,9749488358,294cb082-5928-42cf-b200-afd87d7ebda0,5093698237,46:35.0,22062266,N_YS31_Red,69777012,AHAASARS69777012,1,Onesize,N_YS31_Red,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7749510620,1376688884,flipkartlogistics,MYSC1048310446,29954,,,07:20.0,,34:31.0,40:46.0,47:05.0,,,,,782,2899,2117,0,0,0,0,Thane,MH,400614
18500,29954,'125692783733642110103,7756529528,9756507280,851dbc1a-05aa-41ea-a0b5-dd1847d3fdf5,5097526315,21:05.0,22062246,N_YS31_RBlue,69776992,AHAASARS69776992,1,Onesize,N_YS31_RBlue,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7756529528,1379490645,flipkartlogistics,MYSP1061168449,29954,,,52:39.0,,11:30.0,16:18.0,33:50.0,,,,,2870,2899,29,0,0,0,0,Bhubaneswar,OR,751021
18500,29954,'125661035272589917601,7752810651,9752788397,4db25a8a-7683-493b-ac4a-58fc98dd271f,5095510260,09:41.0,22062238,N_Punam 2_Wine,69776984,AHAASARS69776984,1,Onesize,N_Punam 2_Wine,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,RTO,7752810651,1377955344,DE,1.32E+11,29954,37,RTO Cancellation,58:17.0,19:01.0,04:57.0,43:46.0,,29:36.0,1/13/2024 8:29,,,782,2899,2117,0,0,0,0,Kolhapur,MH,416552
18500,29954,'125669914775940747103,7753870700,9753848447,224ce4a9-0319-4a87-97b2-6c02899c2e62,5096106652,49:36.0,24361744,Sanskriti_Red,78153956,DIVISARS78153956,1,Pack,Sanskriti_Red,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Paithani Saree,Sarees,C,7753870700,1378336509,flipkartlogistics,MYSP1060119226,29954,,,12:18.0,,05:20.0,13:03.0,01:09.0,,,,,992,3675,2683,0,0,0,0,Varanasi,UP,221003
18500,29954,'125702717386121045403,7758207206,9758184959,00cf5872-cb68-4a1c-b237-56fdee55de1a,5098395673,56:42.0,23282406,SD33_Rama,74181890,DIVISARS74181890,1,Onesize,SD33_Rama,DIVASTRI,DIVASTRI Ethnic Motifs Zari Silk Cotton Banarasi Saree,Sarees,C,7758207206,1380494883,flipkartlogistics,MYSP1061991299,29954,,,34:14.0,,41:34.0,29:11.0,24:10.0,,,,,813,3696,2883,0,0,0,0,Nalgonda,TS,508001
18500,29954,'125677352829039327503,7754667998,9754645748,e0adaf59-7991-4d4b-b447-854ad805b647,5096551099,29:17.0,22062236,N_Punam 2_Rani,69776982,AHAASARS69776982,1,Onesize,N_Punam 2_Rani,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7754667998,1378672337,flipkartlogistics,MYSP1060465727,29954,,,52:08.0,,34:11.0,39:35.0,03:30.0,,,,,782,2899,2117,0,0,0,0,Alwar,RJ,301002
18500,29954,'125833925160048516603,7774614978,9774592857,62ce2309-0dc1-429c-a016-39808cf59527,5107276382,24:40.0,21131976,Print_Beige Black.,66334110,AHAASARS66334110,1,Onesize,Print_Beige Black.,AA-HA!!,AA-HA Floral Zari Silk Cotton Bhagalpuri Saree,Sarees,C,7774614978,1385582173,flipkartlogistics,MYSP1066686700,29954,,,53:24.0,,24:58.0,31:02.0,34:04.0,,,,,1599,9999,8400,0,0,0,0,Nashik,MH,422010
18500,29954,'125600888707480541701,7744754264,9744731996,1be627e2-d229-4c8d-8309-5c153c1d6450,5091116408,05:16.0,21131878,D325_Jamun.,66334012,AHAASARS66334012,1,Onesize,D325_Jamun.,AA-HA!!,AA-HA Ethnic Motifs Zari Paithani Saree,Sarees,C,7744754264,1375046825,flipkartlogistics,MYSP1057302584,29954,,,07:14.0,,12:33.0,17:58.0,56:58.0,,,,,1177,6199,5022,0,0,0,0,Ongole,AP,523001
18500,29954,'125701540372002917501,7757943817,9757921570,f87c927a-e577-43ac-a908-a7be7618c77b,5098259841,40:32.0,22062262,N_YS31_Rama,69777008,AHAASARS69777008,1,Onesize,N_YS31_Rama,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7757943817,1380494891,flipkartlogistics,MYSC1050621229,29954,,,34:56.0,,10:24.0,54:23.0,46:55.0,,,,,898,2899,2001,0,0,0,0,Cuttack,OR,753002
18500,29954,'125638576564281092203,7749510613,9749488351,b561a8a2-132e-4438-984a-d859c3c7458f,5093698237,46:35.0,22062264,N_YS31_BGreen,69777010,AHAASARS69777010,1,Onesize,N_YS31_BGreen,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7749510613,1376689383,flipkartlogistics,MYSC1048309587,29954,,,07:46.0,,34:15.0,40:40.0,46:55.0,,,,,782,2899,2117,0,0,0,0,Thane,MH,400614
18500,29954,'125824546562676218201,7773602057,9773579925,97d33737-0dde-4e2c-8c40-eaecdc3d11de,5106715634,21:34.0,25316734,Sanskriti Pblu,81598792,DIVISARS81598792,1,Pack,Sanskriti Pblu,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Paithani Saree,Sarees,SH,7773602057,1385583060,flipkartlogistics,MYSC1053781664,29954,,,55:42.0,,41:58.0,47:52.0,,,,,,1064,3435,2371,0,0,0,0,Kalimpong,WB,734314
18500,29954,'125639013200099790403,7749546785,9749524523,2b300bff-1a8a-49c2-8220-04872d185d2d,5093717805,59:20.0,23282448,Kyara_Black,74181932,DIVISARS74181932,1,Onesize,Kyara_Black,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Silk Cotton Banarasi Saree,Sarees,F,7749546785,1376691878,flipkartlogistics,MYSP1058622996,29954,32,Ordered by mistake,11:54.0,,34:33.0,,,34:40.0,,,,1173,6900,5727,0,0,0,0,Guntur,AP,522006
